  7.3477522e+006 -5.0000000e+002  8.4867741e+001 -7.6813539e+002
  7.3477523e+006 -5.0000000e+002  8.0834610e+001 -7.6814814e+002
  7.3477524e+006 -5.0000000e+002  7.6801677e+001 -7.6816049e+002
  7.3477525e+006 -5.0000000e+002  7.2768940e+001 -7.6817266e+002
  7.3477526e+006 -5.0000000e+002  6.8736404e+001 -7.6818514e+002
  7.3477527e+006 -5.0000000e+002  6.4704066e+001 -7.6819741e+002
  7.3477528e+006 -5.0000000e+002  6.0671927e+001 -7.6820974e+002
  7.3477529e+006 -5.0000000e+002  5.6639980e+001 -7.6822204e+002
  7.3477530e+006 -5.0000000e+002  5.2608222e+001 -7.6823410e+002
  7.3477531e+006 -5.0000000e+002  4.8576656e+001 -7.6824623e+002
  7.3477532e+006 -5.0000000e+002  4.4545275e+001 -7.6825836e+002
  7.3477533e+006 -5.0000000e+002  4.0514079e+001 -7.6827030e+002
  7.3477534e+006 -5.0000000e+002  3.6483069e+001 -7.6828233e+002
  7.3477535e+006 -5.0000000e+002  3.2452240e+001 -7.6829436e+002
  7.3477536e+006 -5.0000000e+002  2.8421588e+001 -7.6830618e+002
  7.3477537e+006 -5.0000000e+002  2.4391116e+001 -7.6831807e+002
  7.3477538e+006 -5.0000000e+002  2.0360816e+001 -7.6832992e+002
  7.3477539e+006 -5.0000000e+002  1.6330685e+001 -7.6834151e+002
  7.3477540e+006 -5.0000000e+002  1.2300723e+001 -7.6835314e+002
  7.3477541e+006 -5.0000000e+002  8.2709229e+000 -7.6836471e+002
  7.3477542e+006 -5.0000000e+002  4.2412799e+000 -7.6837599e+002
  7.3477543e+006 -5.0000000e+002  2.1179524e-001 -7.6838720e+002
  7.3477544e+006 -5.0000000e+002 -3.8175283e+000 -7.6839872e+002
  7.3477545e+006 -5.0000000e+002 -7.8466967e+000 -7.6840999e+002
  7.3477546e+006 -5.0000000e+002 -1.1875713e+001 -7.6842109e+002
  7.3477547e+006 -5.0000000e+002 -1.5904580e+001 -7.6843226e+002
  7.3477548e+006 -5.0000000e+002 -1.9933299e+001 -7.6844337e+002
  7.3477549e+006 -5.0000000e+002 -2.3961869e+001 -7.6845436e+002
  7.3477550e+006 -5.0000000e+002 -2.7990287e+001 -7.6846551e+002
  7.3477551e+006 -5.0000000e+002 -3.2018551e+001 -7.6847684e+002
  7.3477552e+006 -5.0000000e+002 -3.6046663e+001 -7.6848811e+002
  7.3477553e+006 -5.0000000e+002 -4.0074620e+001 -7.6849952e+002
  7.3477554e+006 -5.0000000e+002 -4.4102433e+001 -7.6851085e+002
  7.3477555e+006 -5.0000000e+002 -4.8130110e+001 -7.6852182e+002
  7.3477556e+006 -5.0000000e+002 -5.2157655e+001 -7.6853257e+002
  7.3477557e+006 -5.0000000e+002 -5.6185068e+001 -7.6854335e+002
  7.3477558e+006 -5.0000000e+002 -6.0212354e+001 -7.6855405e+002
  7.3477559e+006 -5.0000000e+002 -6.4239509e+001 -7.6856461e+002
  7.3477560e+006 -5.0000000e+002 -6.8266534e+001 -7.6857528e+002
  7.3477561e+006 -5.0000000e+002 -7.2293427e+001 -7.6858610e+002
  7.3477562e+006 -5.0000000e+002 -7.6320192e+001 -7.6859679e+002
  7.3477563e+006 -5.0000000e+002 -8.0346827e+001 -7.6860745e+002
  7.3477564e+006 -5.0000000e+002 -8.4373334e+001 -7.6861824e+002
  7.3477565e+006 -5.0000000e+002 -8.8399717e+001 -7.6862896e+002
  7.3477566e+006 -5.0000000e+002 -9.2425977e+001 -7.6863949e+002
  7.3477567e+006 -5.0000000e+002 -9.6452116e+001 -7.6865005e+002
  7.3477568e+006 -5.0000000e+002 -1.0047814e+002 -7.6866065e+002
  7.3477569e+006 -5.0000000e+002 -1.0450404e+002 -7.6867103e+002
  7.3477570e+006 -5.0000000e+002 -1.0852984e+002 -7.6868131e+002
  7.3477571e+006 -5.0000000e+002 -1.1255552e+002 -7.6869166e+002
  7.3477572e+006 -5.0000000e+002 -1.1658110e+002 -7.6870192e+002
  7.3477573e+006 -5.0000000e+002 -1.2060657e+002 -7.6871194e+002
  7.3477574e+006 -5.0000000e+002 -1.2463194e+002 -7.6872197e+002
  7.3477575e+006 -5.0000000e+002 -1.2865721e+002 -7.6873202e+002
  7.3477576e+006 -5.0000000e+002 -1.3268238e+002 -7.6874183e+002
  7.3477577e+006 -5.0000000e+002 -1.3670746e+002 -7.6875150e+002
  7.3477578e+006 -5.0000000e+002 -1.4073245e+002 -7.6876121e+002
  7.3477579e+006 -5.0000000e+002 -1.4475736e+002 -7.6877080e+002
  7.3477580e+006 -5.0000000e+002 -1.4878218e+002 -7.6878012e+002
  7.3477581e+006 -5.0000000e+002 -1.5280692e+002 -7.6878941e+002
  7.3477582e+006 -5.0000000e+002 -1.5683159e+002 -7.6879869e+002
  7.3477583e+006 -5.0000000e+002 -1.6085618e+002 -7.6880770e+002
  7.3477584e+006 -5.0000000e+002 -1.6488071e+002 -7.6881655e+002
  7.3477585e+006 -5.0000000e+002 -1.6890517e+002 -7.6882541e+002
  7.3477586e+006 -5.0000000e+002 -1.7292957e+002 -7.6883412e+002
  7.3477587e+006 -5.0000000e+002 -1.7695391e+002 -7.6884254e+002
  7.3477588e+006 -5.0000000e+002 -1.8097820e+002 -7.6885081e+002
  7.3477589e+006 -5.0000000e+002 -1.8500242e+002 -7.6885932e+002
  7.3477590e+006 -5.0000000e+002 -1.8902659e+002 -7.6886791e+002
  7.3477591e+006 -5.0000000e+002 -1.9305069e+002 -7.6887640e+002
  7.3477592e+006 -5.0000000e+002 -1.9707473e+002 -7.6888492e+002
  7.3477593e+006 -5.0000000e+002 -2.0109872e+002 -7.6889341e+002
  7.3477594e+006 -5.0000000e+002 -2.0512262e+002 -7.6890189e+002
  7.3477595e+006 -5.0000000e+002 -2.0914644e+002 -7.6891059e+002
  7.3477596e+006 -5.0000000e+002 -2.1317015e+002 -7.6891944e+002
  7.3477597e+006 -5.0000000e+002 -2.1719376e+002 -7.6892805e+002
  7.3477598e+006 -5.0000000e+002 -2.2121727e+002 -7.6893651e+002
  7.3477599e+006 -5.0000000e+002 -2.2524066e+002 -7.6894509e+002
  7.3477600e+006 -5.0000000e+002 -2.2926394e+002 -7.6895379e+002
  7.3477601e+006 -5.0000000e+002 -2.3328711e+002 -7.6896228e+002
  7.3477602e+006 -5.0000000e+002 -2.3731016e+002 -7.6897062e+002
  7.3477603e+006 -5.0000000e+002 -2.4133309e+002 -7.6897911e+002
  7.3477604e+006 -5.0000000e+002 -2.4535590e+002 -7.6898774e+002
  7.3477605e+006 -5.0000000e+002 -2.4937860e+002 -7.6899615e+002
  7.3477606e+006 -5.0000000e+002 -2.5340117e+002 -7.6900441e+002
  7.3477607e+006 -5.0000000e+002 -2.5742364e+002 -7.6901279e+002
  7.3477608e+006 -5.0000000e+002 -2.6144600e+002 -7.6902128e+002
  7.3477609e+006 -5.0000000e+002 -2.6546827e+002 -7.6902953e+002
  7.3477610e+006 -5.0000000e+002 -2.6949047e+002 -7.6903759e+002
